ID,var_rpta_alt,Prob_uno
257335#444821#635511,,
59584#350400#730364,,
397604#973821#106521,,
368086#382995#696856,,
255009#434238#645924,,
417751#109691#978105,,
15170#695103#385239,,
64083#1033680#46662,,
522913#59984#1044995,,
46441#633313#447029,,
552#559118#521224,,
302051#315690#767452,,
118179#314102#769034,,
523516#404708#675216,,
113208#181011#907122,,
276581#207846#874865,,
580908#867522#212820,,
383095#52705#1052247,0.0,0.027431980519106544
76615#1047728#32614,0.0,0.05971256212725518
138091#115168#972652,,
357721#73523#1031527,,
442359#1056644#23698,,
500313#1050223#30119,0.0,0.2851062307660469
402096#43169#1061649,,
507348#350702#730065,,
204337#300670#782445,,
436763#346219#734486,,
465398#824439#255903,,
242084#623070#457272,,
267078#663701#416641,,
200340#725868#354474,,
600026#796685#283657,,
439822#145524#942570,,
608644#280869#802173,,
458223#711065#369277,0.0,0.2642114531786295
492870#106066#981715,,
385325#66845#1038184,,
283801#483018#597324,,
39603#35099#1069954,,
35925#278860#804180,,
536107#889478#190864,,
356231#190000#898235,,
314131#751663#328679,,
32776#599515#480827,,
296565#487009#593333,,
420032#784025#296317,,
348284#542773#537569,,
514260#342341#738326,,
373936#834274#246068,,
158015#815577#264765,0.0,0.3190211392191959
107393#729831#350511,,
395121#718382#361960,,
559180#418892#661101,,
311073#1041116#39226,,
106125#404910#675013,0.0,0.17600087213494914
64548#241610#841409,,
40213#836170#244172,,
332192#909736#170606,,
622359#728230#352112,,
77961#237821#845157,,
590929#109550#978245,,
349843#282225#800828,,
513716#50850#1054052,,
46597#462853#617489,,
302245#848604#231738,0.0,0.08053860781903723
507759#368273#711587,1.0,0.9894495519881145
494605#98713#989059,,
541991#910909#169433,,
82315#796739#283603,,
305431#830902#249440,,
191287#180650#907480,,
325540#359775#720088,0.0,0.04499343508538316
104164#870960#209382,,
419790#703117#377225,,
385203#322645#760493,,
265204#512277#568065,1.0,0.5150317616407265
615809#246955#836042,,
492907#833827#246515,,
519426#476099#604243,1.0,0.9929866611077477
343078#713036#367306,,
579554#254116#828878,,
361606#620091#460251,,
27372#1071120#9222,,
387473#591553#488789,0.0,0.23389337803652693
37054#250623#832376,,
435457#71766#1033297,,
411421#358837#721020,1.0,0.8968669521286716
331918#253524#829476,,
458587#154497#933618,0.0,0.18795575379033905
200516#1030154#50188,,
424997#233080#849749,,
285438#489840#590502,,
93856#179627#908493,,
313683#1066197#14145,,
305062#707119#373223,,
359813#401620#678296,,
41776#118031#969796,,
549240#754384#325958,,
535662#874906#205436,0.0,0.044624028154100416
222849#952636#127706,1.0,0.9878089247041075
444462#266806#816202,,
565253#646348#433994,0.0,0.4779286149630359
128500#709481#370861,,
143808#827882#252460,0.0,0.0944973872814674
178747#840420#239922,,
397405#791419#288923,1.0,0.5661629514794225
122191#433493#646635,0.0,0.10892805731241782
334946#999342#81000,,
466507#983180#97162,,
433096#704351#375991,,
249344#834226#246116,,
586814#756878#323464,,
171889#49153#1055675,,
407152#754948#325394,,
174421#950334#130008,,
435971#408186#671733,,
79401#329544#751154,,
62326#575666#504676,1.0,0.6258514369861296
191580#608392#471950,,
150465#751828#328514,,
13297#802033#278309,,
